"","ex01","ex02","ex03","ex04","ex05","ex06","ex07","ex08","md09","md10","md11","md12","md13","ci14","ci15","ci16","ci17","ci18","ei19","ei20","ei21","ei22","ei23","plc01","plc02","plc03","plc04","plc05","psc06","psc07","psc08","psc09","psc10"
"139",5,2,5,5,5,5,5,5,5,5,4,2,4,5,1,4,5,5,4,4,1,5,2,2,5,4,3,5,5,1,4,2,1
"140",1,3,1,1,1,1,1,1,1,2,1,1,2,2,5,2,1,2,1,1,1,1,1,3,2,1,1,2,3,1,1,2,1
"141",3,2,2,2,2,3,2,3,3,1,1,1,3,3,2,2,3,2,1,1,4,1,1,2,3,3,2,3,2,1,3,2,2
"142",2,4,1,2,3,1,2,2,2,1,1,1,1,4,4,2,4,4,2,2,2,3,2,1,3,2,1,2,1,2,2,4,3
"143",4,2,3,3,3,4,3,4,2,2,2,2,3,4,4,3,2,2,2,2,3,4,2,3,3,3,2,3,2,3,2,4,2
"144",4,2,2,1,1,3,4,3,3,2,2,2,2,3,3,2,3,3,3,2,3,2,3,3,3,4,1,2,3,3,2,2,2
"145",1,2,2,1,1,3,2,1,1,1,1,1,1,2,2,2,2,3,1,1,2,3,2,3,3,2,3,2,1,1,2,2,1
"146",2,3,2,1,2,1,2,3,1,1,1,1,2,2,2,2,1,2,1,1,1,1,1,1,2,3,4,1,2,2,1,2,2
"147",2,4,2,3,2,2,3,3,1,1,1,1,2,2,3,2,3,2,2,1,2,1,2,1,3,3,1,1,1,2,2,5,2
"148",1,3,1,1,2,1,1,2,1,1,1,1,1,1,4,2,2,1,1,1,2,1,1,2,2,1,1,1,2,1,1,1,2
"149",2,2,2,2,1,5,4,2,2,2,1,2,2,4,2,3,5,3,2,2,3,2,2,2,3,4,2,3,1,2,2,1,1
"150",1,3,3,2,3,3,5,2,2,2,2,1,2,4,3,4,2,5,2,1,5,2,2,4,5,5,2,4,2,4,5,3,2
"151",1,2,1,1,3,1,1,3,2,2,1,1,1,2,3,3,3,2,1,1,1,1,1,1,2,2,1,3,1,1,2,1,1
"152",1,3,1,1,1,2,2,1,1,1,1,1,1,1,5,1,2,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1
"153",4,4,4,4,4,5,4,5,4,3,1,1,3,4,4,3,5,3,4,4,2,4,4,5,5,4,4,5,4,4,4,5,2
"154",2,3,2,2,2,2,1,2,3,2,1,3,2,3,2,3,3,2,1,1,1,1,1,2,2,2,2,2,1,2,2,2,3
"155",4,4,4,5,5,5,4,5,5,3,4,4,2,5,4,5,5,4,5,4,5,5,5,5,4,4,3,3,3,2,5,4,3
"156",3,3,2,2,3,3,3,3,3,1,2,3,2,3,4,2,3,2,2,2,2,2,1,3,3,2,1,4,1,1,1,2,3
"157",3,4,2,2,3,4,3,3,3,3,1,1,1,3,3,3,4,3,1,1,1,1,1,2,4,3,1,1,1,1,2,1,1
"158",2,3,2,2,2,3,4,2,2,3,1,1,3,3,2,3,2,3,2,3,3,1,4,1,5,4,3,3,1,1,3,1,2
"159",2,1,1,1,4,4,1,1,3,1,1,2,2,4,3,4,3,3,1,1,4,1,1,5,2,2,1,1,1,1,3,5,1
"160",4,3,3,4,5,3,3,3,4,4,2,2,3,4,3,4,3,3,4,4,4,4,4,2,3,4,3,2,4,4,4,3,4
"161",4,4,3,4,4,4,3,4,3,4,3,2,3,5,3,4,3,4,3,3,4,4,2,3,4,3,3,1,3,2,4,3,2
"162",1,4,1,1,1,2,2,3,5,2,1,1,2,3,4,3,4,3,3,1,2,2,1,2,4,1,1,1,1,1,1,1,2
"163",1,5,2,1,1,3,1,1,3,1,1,1,1,1,1,2,1,3,1,1,1,3,1,3,3,3,3,1,2,1,3,2,2
"164",1,3,1,2,3,2,1,2,1,1,1,1,1,3,1,3,1,1,1,1,1,1,1,1,3,1,3,4,1,1,1,2,2
"165",3,4,3,3,3,3,4,4,3,3,2,2,1,3,5,3,4,3,3,3,3,3,3,3,4,2,1,2,1,1,4,2,2
"166",3,3,2,3,5,3,5,3,2,3,5,1,3,4,5,5,5,5,2,2,2,3,3,4,5,3,2,2,3,3,4,5,3
"167",1,3,1,1,4,5,2,2,3,3,3,3,2,4,3,4,4,4,2,4,2,2,2,1,2,1,1,1,1,1,1,2,2
