"","UWES_VI1","UWES_DE1","UWES_AB1","UWES_VI2","UWES_DE2","UWES_AB2","UWES_DE3","UWES_VI3","UWES_AB3","UWES_DE4","UWES_AB4","UWES_VI4","UWES_DE5","UWES_AB5","UWES_VI5","UWES_AB6","UWES_VI6"
"223",4,4,7,4,6,6,4,4,4,4,6,7,6,4,6,6,6
"224",5,3,5,5,3,5,4,4,3,3,4,5,4,3,5,4,7
"225",5,6,7,6,6,4,6,5,7,7,6,7,6,6,7,6,7
"226",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"227",4,4,4,4,4,4,4,4,4,5,4,4,5,3,3,4,4
"228",4,7,6,5,4,5,4,5,4,6,3,6,6,4,4,6,4
"229",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230",6,7,5,6,6,5,7,6,4,7,4,6,5,7,7,6,7
"231",3,6,4,1,1,1,1,1,1,7,3,3,7,1,4,3,4
"232",6,6,5,6,6,4,5,4,4,7,5,6,6,5,6,6,7
"233",4,2,7,2,3,6,2,3,4,5,7,5,1,4,2,7,7
"234",7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7
"235",5,7,4,6,6,4,4,5,4,7,7,5,3,5,5,3,5
"236",5,NA,7,7,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,6
"237",5,4,6,5,5,6,5,5,6,7,7,6,6,6,6,6,7
"238",4,5,5,5,5,4,5,5,4,5,5,5,5,5,4,4,4
"239",5,5,7,5,5,3,5,7,7,6,5,5,6,5,6,4,6
"240",6,5,7,7,7,4,NA,NA,7,6,4,6,6,7,6,3,7
"241",3,4,6,4,5,3,5,6,1,5,4,4,4,4,6,6,5
"242",4,4,4,4,4,4,3,3,1,1,3,4,2,4,7,1,7
"243",7,5,7,7,7,6,6,6,7,7,7,7,7,6,6,7,7
"244",7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,6,7
"245",4,7,4,5,6,3,7,6,4,7,4,4,4,7,6,3,4
"246",3,3,2,5,7,5,6,7,3,7,4,7,3,3,5,2,3
"247",7,NA,7,NA,NA,NA,3,NA,NA,4,NA,NA,4,NA,NA,3,NA
"248",3,4,3,3,4,3,4,4,3,4,4,4,4,4,4,3,3
"249",3,6,7,3,3,5,3,2,6,7,2,5,6,6,2,2,7
"250",5,7,6,6,6,2,7,7,6,7,4,7,4,7,7,2,7
"251",6,6,3,6,5,NA,7,5,7,4,6,5,7,6,5,3,5
"252",6,4,4,4,6,3,4,3,3,5,6,6,5,6,4,6,3
"253",5,6,6,3,6,6,5,6,5,6,2,5,6,6,6,6,6
"254",5,4,5,3,7,4,4,7,6,5,4,6,5,4,5,2,6
"255",6,6,6,6,6,6,6,6,6,7,6,6,6,7,7,6,6
"256",6,4,5,7,5,4,6,7,5,4,4,4,6,6,5,3,7
"257",7,3,2,6,7,3,4,2,3,6,5,7,6,6,5,2,4
"258",6,6,7,6,6,7,7,4,5,6,5,7,6,6,7,5,6
"259",6,7,7,6,6,7,6,6,7,7,7,6,7,7,7,7,6
"260",6,6,4,6,6,5,4,3,6,7,6,6,7,6,6,2,7
"261",7,7,7,5,7,6,7,4,6,7,6,7,7,7,7,5,7
"262",5,7,7,7,6,1,6,5,4,5,6,6,7,6,5,5,7
"263",4,5,7,5,5,7,4,6,5,7,7,7,NA,4,5,6,7
"264",4,7,4,6,6,5,7,4,5,6,5,2,7,6,3,5,1
"265",5,6,6,5,7,5,6,6,7,6,6,6,6,6,5,5,5
"266",6,6,7,6,6,7,6,6,4,7,6,7,6,6,6,5,6
"267",4,3,2,2,6,2,4,2,1,7,6,2,4,3,2,5,2
"268",6,7,7,6,6,6,7,6,3,7,3,7,6,5,6,3,5
"269",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"270",7,7,7,6,7,7,7,7,7,7,6,7,5,5,7,7,7
"271",5,5,4,4,4,5,5,5,4,4,5,4,5,4,3,4,5
"272",4,5,5,3,3,4,4,4,4,4,4,5,4,5,5,3,5
"273",2,NA,3,3,2,3,4,4,2,NA,3,NA,6,3,4,4,5
"274",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"275",5,7,7,7,7,7,7,5,6,7,6,4,6,7,6,7,6
"276",4,6,6,6,2,5,7,7,5,6,7,5,3,7,5,3,6
"277",4,6,6,3,5,7,5,6,5,4,7,7,5,4,6,7,4
"278",3,6,3,6,4,5,5,4,7,5,7,4,5,7,6,5,7
"279",NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,4,NA,NA
"280",7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,6,7
"281",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"282",4,6,5,4,5,2,6,3,3,6,3,5,6,5,5,2,4
"283",3,NA,4,NA,NA,5,NA,4,NA,NA,NA,5,3,NA,NA,3,5
"284",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"285",5,5,5,6,6,6,3,4,6,4,4,6,4,4,6,4,6
"286",4,4,6,5,4,6,4,3,5,4,6,7,4,3,6,7,6
"287",7,7,7,6,7,7,6,6,7,7,6,7,5,6,6,5,7
"288",4,5,7,2,5,3,4,2,1,5,4,4,4,6,3,5,5
"289",6,6,6,6,7,6,6,4,4,7,5,6,7,6,6,4,6
"290",7,7,7,7,7,7,7,7,7,7,5,7,7,7,7,2,7
"291",5,6,6,6,6,2,5,6,4,6,6,6,5,5,6,3,5
"292",5,5,6,5,6,5,6,6,6,6,5,7,5,5,5,6,6
"293",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"294",6,6,7,6,6,4,7,6,2,7,6,NA,6,6,6,1,6
"295",6,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,7
"296",5,7,5,6,7,3,7,6,4,7,6,6,7,7,7,3,6
"297",4,5,6,3,3,5,5,5,2,3,2,4,4,4,2,4,6
"298",4,4,5,4,4,3,4,4,3,4,4,4,4,4,4,5,5
